id,street_name,house_number,city,country,zip_code
1,Emily Ramp,1085,West Kennethbury,Norway,76495
2,Howard Ports,631,Matthewland,Reunion,31365
3,Kim Wells,524,Michaelbury,Hungary,16364
4,Miller Station,96667,New Sean,Guadeloupe,92132
5,Howell Meadows,31384,South Davidton,Trinidad and Tobago,42687
6,Ann Route,120,West Patriciaville,United States of America,36421
7,Monroe Brooks,80129,Tammyfort,Belize,44040
8,Berg Forges,180,Josephfurt,Bahamas,95803
9,Darren Loop,04413,Richardburgh,Croatia,34867
10,Ayers Via,170,Danielshire,Morocco,77890
11,Atkinson Views,8791,Kathrynburgh,Hungary,29865
12,Patrick Skyway,472,Laurastad,Gabon,55926
13,Cunningham Meadows,51145,North Natasha,Argentina,97333
